block,plot,accession,observationUnitName,germplasmName,use,nReps,Grain weight - g|CO_350:0005123,random
1,1,BOUNTIFUL|PI101253,Cornell_WinterOatFounders_2024_Headrow_28,BOUNTIFUL|PI101253,plot increase,1,53.38,0.017062288
1,2,TRISPERNIA|CIAV7008,Cornell_WinterOatFounders_2024_Headrow_18,TRISPERNIA|CIAV7008,plot increase,1,58.49,0.024350939
1,3,PI436098,Cornell_WinterOatFounders_2024_Headrow_79,PI436098,plot increase,1,48.04,0.037247544
1,4,SEGETAL,Cornell_WinterOatFounders_2024_Headrow_94,SEGETAL,plot increase,1,47.45,0.046924881
1,5,WINTER_TURF|CIAV2677,Cornell_WinterOatFounders_2024_Headrow_7,WINTER_TURF|CIAV2677,plot increase,1,81.66,0.127176994
1,6,CW559,Cornell_WinterOatFounders_2024_Headrow_22,CW559,plot increase,1,61.54,0.444800045
1,7,REHOVOT,Cornell_WinterOatFounders_2024_Headrow_20,REHOVOT,plot increase,1,68.9,0.459417324
1,8,PI320204,Cornell_WinterOatFounders_2024_Headrow_61,PI320204,plot increase,1,53.46,0.61693207
1,9,PI194894,Cornell_WinterOatFounders_2024_Headrow_32,PI194894,plot increase,1,72.32,0.659753915
1,10,WESTFINNISCHER_SCHWARZ,Cornell_WinterOatFounders_2024_Headrow_55,WESTFINNISCHER_SCHWARZ,plot increase,1,57.13,0.664099876
1,11,TRISPERNIA|CIAV5100,Cornell_WinterOatFounders_2024_Headrow_13,TRISPERNIA|CIAV5100,plot increase,1,83.68,0.761940457
1,12,PI344831,Cornell_WinterOatFounders_2024_Headrow_67,PI344831,plot increase,1,42.79,0.806859406
1,13,ROTENBURGER_SCHWARZHAFER,Cornell_WinterOatFounders_2024_Headrow_56,ROTENBURGER_SCHWARZHAFER,plot increase,1,67.43,0.94915193
1,14,CAV3224,Cornell_WinterOatFounders_2024_Headrow_77,CAV3224,plot increase,1,53.77,0.996309356
