p1,p2,cross,SI_F_p1,SI_Y_p1,SI_F_p2,SI_Y_p2,cross_SI,cross_val_score,p1_list,p2_list,use
PA8014-840,NC20-4452,PA8014-840 X NC20-4452,6.594771016,1.193184683,5.03238084,7.875281091,20.69561763,-1,klass,NA,1
NC20-4526,AURORA,NC20-4526 X AURORA,0.315340519,14.34864996,5.795135634,-2.118902637,18.34022348,1,NA,NA,1
Gerard 227,PA8014-840,Gerard 227 X PA8014-840,0.69264192,9.358236094,6.594771016,1.193184683,17.83883371,0,NA,klass,1
Gerard 227,AURORA,Gerard 227 X AURORA,0.69264192,9.358236094,5.795135634,-2.118902637,13.72711101,1,NA,NA,1
Gerard 227,NF13-4126-4_3,Gerard 227 X NF13-4126-4_3,0.69264192,9.358236094,6.076959176,-3.295575188,12.832262,1,NA,NA,1
NF01404A,PA8014-840,NF01404A X PA8014-840,1.951790419,1.09475097,6.594771016,1.193184683,10.83449709,-1,NA,klass,1
NC20-4452,SEGER|PI306405,NC20-4452 X SEGER|PI306405,5.03238084,7.875281091,-3.004747188,-2.177192322,7.725722421,2,NA,P21,1
NC21-6429,AURORA,NC21-6429 X AURORA,-0.644795363,2.298621042,5.795135634,-2.118902637,5.330058677,0,NA,NA,1
Gerard 227,SEGER|PI306405,Gerard 227 X SEGER|PI306405,0.69264192,9.358236094,-3.004747188,-2.177192322,4.868938505,2,NA,P21,0
NC20-4526,NF12AS-107-4_4,NC20-4526 X NF12AS-107-4_4,0.315340519,14.34864996,-3.282123596,-8.792578216,2.58928867,-1,NA,NA,0
AURORA,AWNLESS_CURLED,AURORA X AWNLESS_CURLED,5.795135634,-2.118902637,-3.013024799,1.557463566,2.220671765,2,NA,klass,1
AWNLESS_CURLED,NC21-6429,AWNLESS_CURLED X NC21-6429,-3.013024799,1.557463566,-0.644795363,2.298621042,0.198264447,1,klass,NA,0
NC21-6429,WINTER_TURF|CIAV996,NC21-6429 X WINTER_TURF|CIAV996,-0.644795363,2.298621042,-1.743678837,-0.195862083,-0.28571524,-2,NA,P21,0
SEGETAL,NF01404A,SEGETAL X NF01404A,-0.605137258,-3.066995373,1.951790419,1.09475097,-0.625591242,1,klass,NA,0
SEGER|PI306405,NC21-6429,SEGER|PI306405 X NC21-6429,-3.004747188,-2.177192322,-0.644795363,2.298621042,-3.528113831,1,P21,NA,0
NC21-6429,NF97405B2,NC21-6429 X NF97405B2,-0.644795363,2.298621042,-1.705511608,-12.31295651,-12.36464244,1,NA,NA,0
TRISPERNIA|CIAV5100,NF97405B2,TRISPERNIA|CIAV5100 X NF97405B2,0.553239755,-1.433238708,-1.705511608,-12.31295651,-14.89846707,2,P21,NA,0
NF97405B2,AWNLESS_CURLED,NF97405B2 X AWNLESS_CURLED,-1.705511608,-12.31295651,-3.013024799,1.557463566,-15.47402935,1,NA,klass,0
WESTFINNISCHER_SCHWARZ,NF97405B2,WESTFINNISCHER_SCHWARZ X NF97405B2,-0.99555016,-1.014049531,-1.705511608,-12.31295651,-16.02806781,2,P21,NA,0
DOMACA_ZOB,NF97405B2,DOMACA_ZOB X NF97405B2,-5.260912964,-2.540053672,-1.705511608,-12.31295651,-21.81943475,2,P21,NA,0
